name,category,phone,email,website,address,notes
Van Abel's of Hollandtown,restaurant,(920) 766-2291,,,"8108 County Road D, Kaukauna WI 54130",Iconic supper club near Wrightstown corridor; great in-kind dinner/gift card donation prospect
Mark's East Side Dining & Cocktails,restaurant,(920) 733-3600,,,"1405 E. Wisconsin Avenue, Appleton WI 54911",Established Appleton restaurant; strong local following for gift card donations
Prime Steer Supper Club,restaurant,(920) 766-9888,,,"704 Hyland Avenue, Kaukauna WI 54130",Classic supper club in Kaukauna; perfect for gift card/dinner donation
Tommy G's,restaurant,(920) 277-4330,,,"107 W Wisconsin Avenue, Kaukauna WI 54130",Downtown Kaukauna restaurant; community-minded local business
Hollander's Pub & Grill,restaurant,(920) 766-5281,,,"1820 E. Main Street, Little Chute WI 54140",Local pub in Little Chute; good gift card prospect
The Roundabout Bar and Grill,restaurant,(920) 462-4729,,,"110 E County Road KK, Kaukauna WI 54130",Popular Kaukauna bar & grill; community event supporter
Plan B,restaurant,(920) 462-4239,,,"121 W. Wisconsin Ave., Kaukauna WI 54130",Downtown Kaukauna dining; gift card donation prospect
Tanners Grill and Bar,restaurant,(920) 788-7275,,,"730 S. Railroad Street, Kimberly WI 54136",Kimberly neighborhood grill; strong local ties
Jexi's Restaurant,restaurant,(920) 707-0749,,,"1011 Crooks Ave, Kaukauna WI 54130",Kaukauna restaurant; local community supporter
Cinder's Charcoal Grill East,restaurant,(920) 739-5969,,,"221 S. Kensington, Appleton WI 54915",Appleton charcoal grill; well-known local chain
Gingerootz Asian Grille,restaurant,(920) 202-0950,,,"2920 N Ballard Rd Suite A, Appleton WI 54911",Popular Appleton Asian restaurant; diverse dining option
Little Tomato Venue & Dining Hall,restaurant,(920) 202-8298,,,"1721 East Main, Little Chute WI 54140",Little Chute venue and dining; could sponsor event catering
Patty & Pablo's Family Restaurant,restaurant,(920) 462-4045,,,"145 E 2nd St, Kaukauna WI 54130",Family restaurant in Kaukauna; community-oriented
Pagoni's Pizza,restaurant,(920) 759-9400,,,"320 E Ann Street, Kaukauna WI 54130",Local pizza shop in Kaukauna; gift card donation prospect
Pub 55,restaurant,(920) 759-9167,,,"1441 Arbor Way, Kaukauna WI 54130",Kaukauna pub; beverage cart or gift card prospect
Sturbers Bar & Grill,restaurant,(920) 766-0178,,,"220 Dodge Street, Kaukauna WI 54130",Downtown Kaukauna bar & grill; community supporter
The Coop,restaurant,(920) 740-3861,,,"400 N Richmond St, Appleton WI 54911",Appleton restaurant; local following
Butch's Pizza of Kimberly,restaurant,(920) 788-3592,,,"510 W. Kimberly Avenue, Kimberly WI 54136",Local Kimberly pizza institution; gift card prospect
Marty's Place,restaurant,(920) 788-1817,,,"210 N. Main Street, Kimberly WI 54136",Neighborhood spot in Kimberly; community ties
Good Company,restaurant,,,,"Downtown Appleton, WI",Century-old downtown Appleton restaurant; upscale gift card donation prospect
Osorio's Latin Fusion,restaurant,,,,,"Appleton WI",Popular Appleton fusion restaurant since 2012; gift card prospect
Fratellos,restaurant,,,,"Historic power plant location, Appleton WI",Fox River waterfront restaurant; unique venue for prize donations
Katsu-Ya,restaurant,,,,"Appleton WI",Best sushi in Appleton; upscale gift card donation prospect
Vault 202 Brewery & Taproom,brewery,(608) 999-0634,Info@vault202brewery.com,vault202brewery.com,"202 W. College Avenue, Appleton WI",Downtown Appleton craft brewery in historic bank; beverage cart sponsor prospect
McFleshman's Brewing Co,brewery,(920) 903-8002,,mcfleshmans.com,"115 S State St, Appleton WI 54911",Downtown Appleton brewpub; beverage cart or keg donation prospect
Appleton Beer Factory,brewery,(920) 364-9931,,appletonbeerfactory.com,"603 W. College Ave, Appleton WI 54914",Craft brewery and restaurant; beverage cart sponsor prospect
Lion's Tail Brewing Co,brewery,(920) 215-6443,,lionstailbrewing.com,"116 S Commercial St, Neenah WI 54956",Neenah craft brewery with locally sourced ingredients; keg donation prospect
Stone Arch Brewpub,brewery,(920) 731-3322,,stonearchbrewpub.com,"1004 South Olde Oneida St, Appleton WI 54915",Wisconsin's oldest continually operating brewpub; beverage cart sponsor
Hex Meadery,brewery,(920) 470-1833,,,"175 W. Wisconsin Ave, Kaukauna WI 54130",Unique meadery in Kaukauna; specialty beverage donation prospect
Kerrigan Brothers Winery,brewery,(920) 788-1423,,,"N2797 St Hwy 55, Freedom WI 54130",Local winery near Freedom; wine donation for auction/prizes
Abel Insurance,insurance,(920) 766-1791,,aigwi.com,"One Bank Avenue Ste A, Kaukauna WI 54130",Independent insurance agency in Kaukauna; natural sponsor demographic
Ansay & Associates LLC,insurance,(920) 560-7000,,,"4351 W. College Ave. Ste 310, Appleton WI 54914",Regional insurance firm; strong business community ties
Hosking Insurance Agency,insurance,(920) 766-5782,,,"124 W Wisconsin Ave, Kaukauna WI 54130",Local Kaukauna insurance agency since 1967; community-minded
Van Dyn Hoven Insurance Agency,insurance,(920) 788-3530,,,"1819 Freedom Rd., Little Chute WI 54140",Little Chute insurance agency; strong local community ties
